[8/18/22 09:41AM] Josh used command ::upgrade | Player rights = PLAYER	
[8/18/22 09:47AM] Josh used command ::home | Player rights = PLAYER	
[8/18/22 09:47AM] Josh used command ::commands | Player rights = PLAYER	
[8/18/22 09:47AM] Josh used command ::summer | Player rights = PLAYER	
[8/18/22 09:49AM] Josh used command ::ownerup | Player rights = PLAYER	
[8/18/22 09:49AM] Josh used command ::ownerup josh | Player rights = PLAYER	
[8/18/22 09:52AM] Josh used command ::giveitem 1 | Player rights = PLAYER	
[8/18/22 09:53AM] Josh used command ::giveitem 1 | Player rights = PLAYER	
[8/18/22 09:54AM] Josh used command ::giveitem josh 1 | Player rights = PLAYER	
[8/18/22 09:54AM] Josh used command ::giveitem josh 1 | Player rights = PLAYER	
[8/18/22 09:55AM] Josh used command ::giveitem 1 josh | Player rights = PLAYER	
[8/18/22 09:55AM] Josh used command ::giveitem josh 1 | Player rights = PLAYER	
[8/18/22 09:55AM] Josh used command ::giveitem josh 1 | Player rights = PLAYER	
[8/18/22 09:56AM] Josh used command ::giveitem 1 josh | Player rights = PLAYER	
[8/18/22 09:57AM] Josh used command ::giveitem 1 josh | Player rights = PLAYER	
[8/18/22 09:57AM] Josh used command ::giveitem 1 1 | Player rights = PLAYER	
[8/18/22 09:58AM] Josh used command ::giveitem 1 1  | Player rights = PLAYER	
[8/18/22 09:59AM] Josh used command ::giveitem 1 1 josh | Player rights = PLAYER	
[8/18/22 09:59AM] Josh used command ::giveitem 102 1 josh | Player rights = PLAYER	
[8/18/22 10:09AM] Josh used command ::giveitem 16292 1 josh | Player rights = PLAYER	
[8/18/22 10:13AM] Josh used command ::npc 1 Josh | Player rights = PLAYER	
[8/18/22 10:13AM] Josh used command ::npc 1002 josh | Player rights = PLAYER	
[8/18/22 10:14AM] Josh used command ::invstuff | Player rights = PLAYER	
[8/18/22 10:15AM] Josh used command ::worldnpcs | Player rights = PLAYER	
[8/18/22 10:16AM] Josh used command ::pos | Player rights = PLAYER	
[8/18/22 10:19AM] Josh used command ::npcs | Player rights = PLAYER	
[8/18/22 10:19AM] Josh used command ::worldnpcs | Player rights = PLAYER	
[8/18/22 10:20AM] Josh used command ::worldnpcs | Player rights = PLAYER	
[8/18/22 10:21AM] Josh used command ::worldnpcs | Player rights = PLAYER	
[8/18/22 10:21AM] Josh used command ::tele 2874 0 5210 | Player rights = PLAYER	
[8/18/22 10:21AM] Josh used command ::tele 2867 5210 0 | Player rights = PLAYER	
[8/19/22 09:55AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 09:55AM] Josh used command ::bank | Player rights = DEVELOPER	
[8/19/22 09:56AM] Josh used command ::starter | Player rights = DEVELOPER	
[8/19/22 09:56AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 09:57AM] Josh used command ::giveitem 16450 1 josh | Player rights = DEVELOPER	
[8/19/22 09:57AM] Josh used command ::giveitem 16450 1 josh | Player rights = DEVELOPER	
[8/19/22 09:57AM] Josh used command ::starter | Player rights = DEVELOPER	
[8/19/22 09:58AM] Josh used command ::giveitem 19886 1 josh | Player rights = DEVELOPER	
[8/19/22 10:00AM] Josh used command ::bank | Player rights = DEVELOPER	
[8/19/22 10:01AM] Josh used command ::giveitem 22109 1 josh | Player rights = DEVELOPER	
[8/19/22 10:01AM] Josh used command ::giveitem 22111 1 josh | Player rights = DEVELOPER	
[8/19/22 10:02AM] Josh used command ::giveitem 7995 1 josh | Player rights = DEVELOPER	
[8/19/22 10:09AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 10:12AM] Josh used command ::giveitem 23114 1 josh | Player rights = DEVELOPER	
[8/19/22 10:13AM] Josh used command ::giveitem 23041 1 josh | Player rights = DEVELOPER	
[8/19/22 10:13AM] Josh used command ::giveitem 23042 1 josh | Player rights = DEVELOPER	
[8/19/22 10:13AM] Josh used command ::giveitem 23043 1 josh | Player rights = DEVELOPER	
[8/19/22 10:23AM] Josh used command ::junk | Player rights = DEVELOPER	
[8/19/22 10:23AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 10:25AM] Josh used command ::giveitem 23086 1 josh | Player rights = DEVELOPER	
[8/19/22 10:25AM] Josh used command ::giveitem 23086 1 josh | Player rights = DEVELOPER	
[8/19/22 11:43AM] Josh used command ::tele 2652 4021 0 | Player rights = DEVELOPER	
[8/19/22 11:52AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 11:52AM] Josh used command ::starter | Player rights = DEVELOPER	
[8/19/22 11:53AM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 11:53AM] Josh used command ::tele 2794 3094 0 | Player rights = DEVELOPER	
[8/19/22 11:53AM] Josh used command ::enpc | Player rights = DEVELOPER	
[8/19/22 11:53AM] Josh used command ::enpx | Player rights = DEVELOPER	
[8/19/22 11:54AM] Josh used command ::tele 2602 2774 0 | Player rights = DEVELOPER	
[8/19/22 12:44PM] Josh used command ::home | Player rights = DEVELOPER	
[8/19/22 12:52PM] Josh used command ::starter | Player rights = DEVELOPER	
[8/19/22 01:32PM] Josh used command ::global | Player rights = DEVELOPER	
[8/19/22 01:53PM] Josh used command ::Spawnglobal | Player rights = DEVELOPER	
[8/19/22 01:54PM] Josh used command ::spawngl obal | Player rights = DEVELOPER	
[8/19/22 01:54PM] Josh used command ::spawnglobal | Player rights = DEVELOPER	
[8/19/22 01:54PM] Josh used command ::spawnglobal | Player rights = DEVELOPER	
[8/20/22 01:50AM] Josh used command ::home | Player rights = DEVELOPER	
[8/20/22 01:50AM] Josh used command ::starter | Player rights = DEVELOPER	
[8/20/22 01:51AM] Josh used command ::npc 9003 | Player rights = DEVELOPER	
[8/20/22 01:51AM] Josh used command ::npc 9002 | Player rights = DEVELOPER	
[8/20/22 01:51AM] Josh used command ::npc 9001 | Player rights = DEVELOPER	
[8/20/22 01:51AM] Josh used command ::npc 9000 | Player rights = DEVELOPER	
[8/20/22 01:52AM] Josh used command ::npc 10000 | Player rights = DEVELOPER	
[8/20/22 01:10PM] Josh used command ::dataq | Player rights = PLAYER	
[8/20/22 01:10PM] Josh used command ::data | Player rights = PLAYER	
[8/20/22 01:10PM] Josh used command ::mypos | Player rights = PLAYER	
[8/20/22 01:36PM] Josh used command ::data | Player rights = DEVELOPER	
[8/20/22 01:48PM] Josh used command ::tele 2432 2816 0 | Player rights = DEVELOPER	
[8/20/22 01:48PM] Josh used command ::home | Player rights = DEVELOPER	
[8/20/22 02:08PM] Josh used command ::tele 2688 5696 | Player rights = DEVELOPER	
[8/20/22 02:08PM] Josh used command ::data | Player rights = DEVELOPER	
